memberId,xSpawn,ySpawn,gender,xWidth,yLength
0,0,0,m,13,9
1,13,0,m,13,9
2,26,0,m,13,9
3,39,0,m,13,9
4,52,0,m,13,9
5,65,0,m,13,9
6,78,0,m,13,9
7,91,0,m,13,9
8,104,0,m,13,9
9,117,0,m,13,9
10,130,0,m,13,9
11,143,0,m,13,9
12,156,0,m,13,9
13,0,9,m,13,9
14,13,9,m,13,9
15,26,9,m,13,9
16,39,9,m,13,9
17,52,9,m,13,9
18,65,9,m,13,9
19,78,9,m,13,9
20,91,9,m,13,9
21,104,9,m,13,9
22,117,9,m,13,9
23,130,9,m,13,9
24,143,9,m,13,9
25,156,9,m,13,9
26,0,18,m,13,9
27,13,18,m,13,9
28,26,18,m,13,9
29,39,18,m,13,9
30,52,18,m,13,9
31,65,18,m,13,9
32,78,18,m,13,9
33,91,18,m,13,9
34,104,18,m,13,9
35,117,18,m,13,9
36,130,18,m,13,9
37,143,18,m,13,9
38,156,18,m,13,9
39,0,27,m,13,9
40,13,27,m,13,9
41,26,27,m,13,9
42,39,27,m,13,9
43,52,27,m,13,9
44,65,27,m,13,9
45,78,27,m,13,9
46,91,27,m,13,9
47,104,27,m,13,9
48,117,27,m,13,9
49,130,27,m,13,9
50,143,27,m,13,9
51,156,27,m,13,9
52,0,36,m,13,9
53,13,36,m,13,9
54,26,36,m,13,9
55,39,36,m,13,9
56,52,36,m,13,9
57,65,36,m,13,9
58,78,36,m,13,9
59,91,36,m,13,9
60,104,36,m,13,9
61,117,36,m,13,9
62,130,36,m,13,9
63,143,36,m,13,9
64,156,36,m,13,9
65,0,45,m,13,9
66,13,45,m,13,9
67,26,45,m,13,9
68,39,45,m,13,9
69,52,45,m,13,9
70,65,45,m,13,9
71,78,45,m,13,9
72,91,45,m,13,9
73,104,45,m,13,9
74,117,45,m,13,9
75,130,45,m,13,9
76,143,45,m,13,9
77,156,45,m,13,9
78,0,54,m,13,9
79,13,54,m,13,9
80,26,54,m,13,9
81,39,54,m,13,9
82,52,54,m,13,9
83,65,54,m,13,9
84,78,54,m,13,9
85,91,54,m,13,9
86,104,54,m,13,9
87,117,54,m,13,9
88,130,54,m,13,9
89,143,54,m,13,9
90,156,54,m,13,9
91,0,63,m,13,9
92,13,63,m,13,9
93,26,63,m,13,9
94,39,63,m,13,9
95,52,63,m,13,9
96,65,63,m,13,9
97,78,63,m,13,9
98,91,63,m,13,9
99,104,63,m,13,9
100,117,63,m,13,9
101,130,63,m,13,9
102,143,63,m,13,9
103,156,63,m,13,9
104,0,72,m,13,9
105,13,72,m,13,9
106,26,72,m,13,9
107,39,72,m,13,9
108,52,72,m,13,9
109,65,72,m,13,9
110,78,72,m,13,9
111,91,72,m,13,9
112,104,72,m,13,9
113,117,72,m,13,9
114,130,72,m,13,9
115,143,72,m,13,9
116,156,72,m,13,9
117,0,81,m,13,9
118,13,81,m,13,9
119,26,81,m,13,9
120,39,81,m,13,9
121,52,81,m,13,9
122,65,81,m,13,9
123,78,81,m,13,9
124,91,81,m,13,9
125,104,81,m,13,9
126,117,81,m,13,9
127,130,81,m,13,9
128,143,81,m,13,9
129,156,81,m,13,9
130,0,90,m,13,9
131,13,90,m,13,9
132,26,90,m,13,9
133,39,90,m,13,9
134,52,90,m,13,9
135,65,90,m,13,9
136,78,90,m,13,9
137,91,90,m,13,9
138,104,90,m,13,9
139,117,90,m,13,9
140,130,90,m,13,9
141,143,90,m,13,9
142,156,90,m,13,9
143,0,99,m,13,9
144,13,99,m,13,9
145,26,99,m,13,9
146,39,99,m,13,9
147,52,99,m,13,9
148,65,99,m,13,9
149,78,99,m,13,9
150,91,99,m,13,9
151,104,99,m,13,9
152,117,99,m,13,9
153,130,99,m,13,9
154,143,99,m,13,9
155,156,99,m,13,9
