time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2023-05-21 00:00:00,10.6,7.8,83,0,,64,10.1,18.7,1023.8,,2
2023-05-21 01:00:00,10.2,8,86,0,,68,10.1,19.8,1023.1,,3
2023-05-21 02:00:00,9.7,8.1,90,0,,68,9.4,19.1,1022.5,,2
2023-05-21 03:00:00,9.4,8.5,94,0,,69,9.4,18,1022.2,,3
2023-05-21 04:00:00,9.6,9,96,0,,72,9.4,18.4,1021.8,,3
2023-05-21 05:00:00,9.7,9.1,96,0,,77,9,18,1021.4,,3
2023-05-21 06:00:00,10.3,9.7,96,0,,77,8.6,16.9,1021.1,,3
2023-05-21 07:00:00,12,10.6,91,0,,82,10.1,19.8,1020.9,,3
2023-05-21 08:00:00,14.1,11.6,85,0,,88,11.2,22.7,1021,,3
2023-05-21 09:00:00,15.9,12.8,82,0,,91,10.8,23,1020.9,,3
2023-05-21 10:00:00,17.9,14.4,80,0,,85,11.2,23.8,1020.9,,3
2023-05-21 11:00:00,20.4,15.8,75,0,,83,11.5,25.9,1020.4,,3
2023-05-21 12:00:00,22,16.3,70,0,,87,14.4,31,1020.1,,3
2023-05-21 13:00:00,23.2,16.5,66,0,,94,16.6,34.9,1019.8,,3
2023-05-21 14:00:00,24.1,16.1,61,0,,102,17.3,36,1019.4,,3
2023-05-21 15:00:00,24.6,15.5,57,0,,102,18,37.1,1019.2,,3
2023-05-21 16:00:00,24.3,15.8,59,0,,98,16.6,35.3,1019,,3
2023-05-21 17:00:00,24.1,15.3,58,0,,99,17.6,34.6,1018.7,,3
2023-05-21 18:00:00,23.7,15.7,61,0,,94,15.5,34.6,1018.7,,3
2023-05-21 19:00:00,23.2,15.8,63,0,,93,14.8,30.2,1018.6,,3
2023-05-21 20:00:00,22,15.8,68,0,,83,13.3,28.4,1018.5,,3
2023-05-21 21:00:00,20,16,78,0,,85,13.3,28.4,1018.9,,3
2023-05-21 22:00:00,18.7,14.4,76,0,,88,12.2,25.2,1019.1,,3
2023-05-21 23:00:00,17.4,13.3,77,0,,87,11.2,23.4,1019.3,,3
2023-05-22 00:00:00,16.7,13,79,0,,90,10.8,21.2,1019.3,,3
2023-05-22 01:00:00,16.3,12.8,80,0,,92,10.1,20.5,1019.4,,3
2023-05-22 02:00:00,16.1,12.8,81,0,,95,10.4,20.2,1018.7,,3
2023-05-22 03:00:00,15.6,12.9,84,0,,96,9.7,20.5,1018.4,,3
2023-05-22 04:00:00,15,13,88,0,,93,9,18.4,1018.2,,3
2023-05-22 05:00:00,14.2,12.8,91,0,,87,7.9,16.9,1018,,3
2023-05-22 06:00:00,14,12.7,92,0,,86,8.3,15.5,1017.8,,3
2023-05-22 07:00:00,15.3,12.4,83,0,,95,10.4,19.8,1017.8,,3
2023-05-22 08:00:00,16.9,12.4,75,0,,105,10.8,22.3,1017.8,,3
2023-05-22 09:00:00,18.9,13.1,69,0,,102,11.2,23.8,1017.7,,3
2023-05-22 10:00:00,21,13.7,63,0,,100,12.6,26.6,1017.7,,3
2023-05-22 11:00:00,22.6,13.1,55,0,,104,15.8,33.1,1017.4,,2
2023-05-22 12:00:00,22.8,11.8,50,0,,101,16.2,33.1,1017.2,,1
2023-05-22 13:00:00,23.2,11.6,48,0,,105,16.9,34.9,1016.5,,3
2023-05-22 14:00:00,23.5,11.9,48,0,,106,15.1,34.9,1016.1,,3
2023-05-22 15:00:00,23.1,12.4,51,0,,111,13.3,31.7,1015.7,,3
2023-05-22 16:00:00,23.7,12.7,50,0,,97,14.8,30.6,1015.2,,3
2023-05-22 17:00:00,24.2,11.9,46,0,,103,15.5,31.7,1014.5,,3
2023-05-22 18:00:00,23.4,11.4,47,0,,98,18.4,36.4,1014.2,,3
2023-05-22 19:00:00,22.4,11.5,50,0,,98,16.2,36,1013.8,,3
2023-05-22 20:00:00,21.2,12.1,56,0,,96,14,31.3,1013.6,,2
2023-05-22 21:00:00,19.6,12.4,63,0,,94,16.2,33.1,1013.4,,1
2023-05-22 22:00:00,19.2,11,59,0,,98,13.7,33.5,1013.7,,2
2023-05-22 23:00:00,18.3,10.4,60,0,,92,13.7,26.3,1013.5,,3
2023-05-23 00:00:00,17.7,10.6,63,0,,96,12.6,25.9,1013.2,,3
2023-05-23 01:00:00,17.6,11.8,69,0,,318,4.3,30.2,1013.6,,3
2023-05-23 02:00:00,16.8,11.7,72,0,,352,2.5,9,1013,,3
2023-05-23 03:00:00,15.6,13.6,88,0,,81,2.9,6.1,1013,,3
2023-05-23 04:00:00,15,13.7,92,0,,97,3.6,7.6,1012.6,,3
2023-05-23 05:00:00,14.6,13.5,93,0,,153,3.2,7.2,1012.6,,3
2023-05-23 06:00:00,14.8,13.3,91,0,,235,4.7,9,1012.8,,7
2023-05-23 07:00:00,14.9,14.3,96,0.9,,141,4.3,9.4,1012.5,,3
2023-05-23 08:00:00,14.9,14.3,96,0.6,,136,3.2,6.5,1012.1,,3
2023-05-23 09:00:00,15.8,13.5,86,0.1,,167,5,11.5,1012.1,,3
2023-05-23 10:00:00,15.4,13.9,91,0,,157,4.7,12.2,1012.3,,3
2023-05-23 11:00:00,15.4,13.9,91,0,,230,2.9,10.1,1012.5,,3
2023-05-23 12:00:00,15.9,13.9,88,0,,312,7.9,14.8,1012.7,,3
2023-05-23 13:00:00,14.2,11.2,82,0,,335,23.8,46.4,1013.8,,3
