time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2023-05-21 00:00:00,11.1,5.8,70,0,0,80,11.2,24,1024.6,0,3
2023-05-21 01:00:00,11.4,5.9,69,0,0,80,14,27,1024.2,0,4
2023-05-21 02:00:00,11.2,6.1,71,0,0,70,13,28,1023.6,0,4
2023-05-21 03:00:00,10.7,6.6,76,0,0,50,10.4,20,1023.1,0,4
2023-05-21 04:00:00,10.5,6.8,78,0,0,50,10.1,19,1022.6,0,3
2023-05-21 05:00:00,10.5,6.8,78,0,0,50,9,18,1022.3,0,4
2023-05-21 06:00:00,10.6,7.3,80,0,0,50,11.2,21,1022.1,0,4
2023-05-21 07:00:00,11.6,8.4,81,0,0,60,11.9,22,1021.8,15,4
2023-05-21 08:00:00,13.2,9.1,76,0,0,60,14.8,27,1021.7,50,3
2023-05-21 09:00:00,13.4,9.6,78,0,0,60,14.4,27,1021.7,31,4
2023-05-21 10:00:00,14.5,10.3,76,0,0,60,16.6,29,1021.7,41,4
2023-05-21 11:00:00,15.5,11.1,75,0,0,60,16.6,27,1021.7,2,4
2023-05-21 12:00:00,16.8,11.7,72,0,0,70,20.2,35,1021.3,24,4
2023-05-21 13:00:00,17.4,11.9,70,0,0,80,21.2,37,1021,33,4
2023-05-21 14:00:00,17.8,12,69,0,0,70,22.3,40,1020.8,35,4
2023-05-21 15:00:00,19.5,12.7,65,0,0,70,22.7,44,1020.6,57,4
2023-05-21 16:00:00,18.9,12.4,66,0,0,80,22.7,40,1020.3,39,4
2023-05-21 17:00:00,19.1,12.8,67,0,0,70,20.2,33,1020.2,0,4
2023-05-21 18:00:00,18.9,13.1,69,0,0,70,20.5,33,1019.9,39,4
2023-05-21 19:00:00,18.6,13,70,0,0,70,19.4,38,1019.6,53,4
2023-05-21 20:00:00,18.2,12.9,71,0,0,60,16.9,30,1019.6,0,4
2023-05-21 21:00:00,17.2,12.5,74,0,0,60,16.2,29,1019.6,0,4
2023-05-21 22:00:00,16.2,12.2,77,0,0,70,16.9,32,1019.7,0,4
2023-05-21 23:00:00,15.6,12,79,0,0,60,15.5,27,1019.8,0,4
2023-05-22 00:00:00,14.9,12,83,0,0,60,15.1,27,1019.9,0,4
2023-05-22 01:00:00,14.6,11.9,84,0,0,70,14.8,26,1019.7,0,4
2023-05-22 02:00:00,14.3,11.5,83,0,0,70,14.8,26,1019.4,0,4
2023-05-22 03:00:00,14.1,10.9,81,0,0,70,11.9,23,1019.1,0,8
2023-05-22 04:00:00,13.5,10.5,82,0,0,70,13.7,25,1018.8,0,4
2023-05-22 05:00:00,12.9,10.1,83,0,0,70,11.9,22,1018.4,0,4
2023-05-22 06:00:00,12.9,10.3,84,0,0,70,11.2,21,1018.1,0,4
2023-05-22 07:00:00,13.4,10.8,84,0,0,70,11.2,21,1018,0,4
2023-05-22 08:00:00,14.7,11.1,79,0,0,70,11.5,24,1017.9,44,4
2023-05-22 09:00:00,15.8,11.8,77,0,0,70,13.3,25,1017.7,28,4
2023-05-22 10:00:00,18.2,12.4,69,0,0,70,16.2,28,1017.7,60,4
2023-05-22 11:00:00,19.2,12.5,65,0,0,70,15.1,27,1017.3,43,4
2023-05-22 12:00:00,21.3,13.2,60,0,0,70,17.6,29,1016.8,53,4
2023-05-22 13:00:00,20.1,12.6,62,0,0,80,17.6,30,1016.4,23,4
2023-05-22 14:00:00,20.2,11.9,59,0,0,80,17.6,30,1016.2,15,4
2023-05-22 15:00:00,20.1,11.8,59,0,0,80,18,32,1015.8,11,4
2023-05-22 16:00:00,21.1,11.1,53,0,0,90,20.5,40,1015.3,54,4
2023-05-22 17:00:00,20,9.8,52,0,0,90,21.2,36,1014.7,12,4
2023-05-22 18:00:00,19.5,9.7,53,0,0,90,23,41,1014.1,1,4
2023-05-22 19:00:00,18.1,9.2,56,0,0,90,20.2,40,1014.1,0,4
2023-05-22 20:00:00,15.8,11,73,1.2,0,30,13.3,37,1015.1,0,8
2023-05-22 21:00:00,13.9,12.5,91,3.5,0,330,11.9,25,1015.5,0,8
2023-05-22 22:00:00,13.6,12.5,93,5,0,360,11.5,25,1015.2,0,8
2023-05-22 23:00:00,13.8,12,89,0.5,0,30,11.2,21,1014.7,0,8
2023-05-23 00:00:00,13.8,11.7,87,0,0,50,9.4,19,1014.6,0,4
2023-05-23 01:00:00,13.4,12.1,92,0,0,60,7.6,14,1014.3,0,4
2023-05-23 02:00:00,13.3,11.7,90,0,0,70,8.6,17,1013.8,0,4
2023-05-23 03:00:00,13,11.6,91,0,0,60,5,11,1013.3,0,4
2023-05-23 04:00:00,12.8,11.7,93,0,0,30,5,8,1012.8,0,4
2023-05-23 05:00:00,12.8,11.5,92,0,0,350,6.5,19,1013,0,4
2023-05-23 06:00:00,12.6,10.8,89,0,0,350,7.6,18,1012.9,0,8
2023-05-23 07:00:00,12.7,11.3,91,0,0,340,5,15,1013.3,0,8
2023-05-23 08:00:00,12.4,11.3,93,1.1,0,320,10.8,22,1013.8,0,8
2023-05-23 09:00:00,12.6,11.7,94,0.8,0,320,13.3,27,1014.3,0,8
2023-05-23 10:00:00,10.9,10.1,95,0,0,320,20.2,42,1015,0,8
2023-05-23 11:00:00,11.4,10,91,0.1,0,320,17.6,35,1015.5,0,7
2023-05-23 12:00:00,11.2,8.2,82,0,0,310,19.8,36,1016.1,0,4
2023-05-23 13:00:00,13.2,7.6,69,0,0,310,23.8,42,1016.4,28,4
2023-05-23 14:00:00,12.9,6.7,66,0,0,310,25.2,49,1016.6,39,4
2023-05-23 15:00:00,12.9,6.3,64,0,0,310,26.3,51,1017,33,4
2023-05-23 16:00:00,12.3,5.7,64,0,0,310,26.6,50,1017.4,5,4
2023-05-23 17:00:00,11.9,5.5,65,0,0,300,24.5,49,1017.6,0,4
2023-05-23 18:00:00,11,5.1,67,0,0,300,24.5,49,1017.9,0,4
2023-05-23 19:00:00,10.6,5.6,71,0,0,300,21.6,45,1018,0,4
2023-05-23 20:00:00,10.2,5.6,73,0,0,300,22,44,1018.3,0,4
2023-05-23 21:00:00,10,5.6,74,0,0,300,19.4,36,1018.4,0,4
2023-05-23 22:00:00,9.7,5.5,75,0,0,300,18.4,36,1018.8,0,4
2023-05-23 23:00:00,9.3,6.2,81,0,0,300,16.9,34,1018.8,0,7
2023-05-24 00:00:00,9.5,6.4,81,0,0,290,16.9,35,1018.8,0,7
2023-05-24 01:00:00,9.6,6.3,80,0,0,300,17.3,37,1018.9,0,4
2023-05-24 02:00:00,9.5,6.8,83,0,0,290,15.1,30,1018.7,0,7
2023-05-24 03:00:00,9.3,7.4,88,0,0,290,11.5,24,1018.5,0,8
2023-05-24 04:00:00,9.4,7.3,87,0,0,300,9.4,22,1018.4,0,8
2023-05-24 05:00:00,9.4,7.2,86,0,0,310,11.5,25,1018.5,0,4
2023-05-24 06:00:00,9.6,7.4,86,0,0,310,10.4,20,1018.7,0,4
2023-05-24 07:00:00,9.8,7.7,87,0,0,310,8.6,18,1019.2,0,4
2023-05-24 08:00:00,10.2,8.1,87,0,0,310,9.7,19,1019.7,0,4
2023-05-24 09:00:00,10.8,8.6,86,0,0,310,9,19,1020.4,0,4
2023-05-24 10:00:00,12,9,82,0,0,330,6.8,13,1020.7,0,4
2023-05-24 11:00:00,12.2,8.7,79,0,0,320,8.3,17,1021.2,0,4
2023-05-24 12:00:00,13.6,9.1,74,0,0,320,8.6,17,1021.5,3,4
2023-05-24 13:00:00,14.3,8.5,68,0,0,290,8.3,21,1021.6,15,4
2023-05-24 14:00:00,16,9.9,67,0,0,300,8.6,21,1021.8,13,4
2023-05-24 15:00:00,16,8,59,0,0,330,6.8,18,1021.7,42,2
2023-05-24 16:00:00,17.6,7.9,53,0,0,360,5.8,16,1021.6,42,3
2023-05-24 17:00:00,18.3,10.6,61,0,0,270,6.8,22,1021.5,27,4
2023-05-24 18:00:00,17.1,11.1,68,0,0,260,11.9,31,1021.7,47,3
2023-05-24 19:00:00,16.1,10.4,69,0,0,260,14,27,1021.8,48,3
2023-05-24 20:00:00,15.1,9.7,70,0,0,270,13.3,25,1022.2,32,3
2023-05-24 21:00:00,13.4,9.3,76,0,0,260,11.5,23,1022.5,53,3
2023-05-24 22:00:00,11.6,9.7,88,0,0,260,11.5,22,1023.1,0,1
2023-05-24 23:00:00,11.5,9.2,86,0,0,280,13,24,1023.4,0,4
2023-05-25 00:00:00,10.8,8.7,87,0,0,290,11.5,23,1023.6,0,4
2023-05-25 01:00:00,9.6,8,90,0,0,300,9,18,1023.9,0,1
2023-05-25 02:00:00,8.5,7.6,94,0,0,300,6.5,16,1024.3,0,1
2023-05-25 03:00:00,8,7.2,95,0,0,300,7.2,13,1024.6,0,1
